Age,Number_of_Banks,Number_of_Loans,Due_Loans,Hard_Checks,Credit_Limit,Credit_Usage,Monthly_Income,Total_Limit,Debt_to_Income_Ratio,Score_Category
44,5,5,0,8,481021,318579,143631,497798,2.22,1
29,1,9,6,3,218716,76323,103519,267849,0.74,2
52,3,5,1,4,421329,152146,99054,448862,1.54,2
49,4,4,4,7,466145,345278,65082,485492,5.31,1
45,5,7,0,3,202661,93980,44523,215806,2.11,2
28,1,9,9,0,369983,218294,83093,385337,2.63,2
37,5,1,0,3,323853,218624,81173,357308,2.69,1
56,1,9,0,2,167013,114004,56025,182112,2.03,1
33,4,2,0,1,298085,157705,138355,342851,1.14,2
30,1,6,2,3,277893,97493,122517,326972,0.8,2
53,3,1,0,10,160494,68636,127921,188298,0.54,2
26,3,3,3,0,172059,43723,71758,182773,0.61,0
39,1,1,1,9,338181,238050,90138,376255,2.64,1
44,3,3,1,3,417215,267616,129266,431299,2.07,1
54,1,8,7,2,123334,50844,135089,134310,0.38,2
34,4,1,0,5,478400,130295,40956,497688,3.18,0
39,1,10,5,2,97255,72531,108871,129108,0.67,1
46,5,7,2,7,317080,144105,144844,334103,0.99,2
53,5,4,1,1,179948,106910,58329,212760,1.83,2
44,2,8,8,5,336404,138791,125117,369724,1.11,2
26,1,3,3,7,214643,95282,44890,251275,2.12,2
56,2,6,4,8,410836,254861,43051,429115,5.92,1
26,3,10,9,2,269585,188276,102841,305233,1.83,1
57,5,10,5,10,215747,62691,33956,235373,1.85,0
39,1,9,6,5,271478,164716,60882,313823,2.71,1
30,3,10,5,8,282599,65121,57349,331299,1.14,0
55,5,4,0,1,421112,243681,106239,457029,2.29,2
52,4,8,1,9,70898,52015,99531,102842,0.52,1
41,3,10,2,9,347198,145370,57563,384717,2.53,2
60,5,10,3,7,106084,29841,31041,126213,0.96,0
24,2,3,0,3,106127,52132,55971,129045,0.93,2
57,2,7,3,0,112286,38684,84557,161486,0.46,2
31,2,3,0,6,71304,32593,125199,106083,0.26,2
